MessageID	Timestamp	Payload
180	00:45:17.776502	180,-299
181	00:45:17.993593	181,-220
182	00:45:18.195064	182,55
183	00:45:18.396563	183,171
184	00:45:18.588960	184,-11
185	00:45:18.799552	185,139
186	00:45:19.001317	186,272
187	00:45:19.404754	187,-239
188	00:45:19.498509	188,-3
189	00:45:19.700054	189,-171
190	00:45:19.901526	190,-231
191	00:45:20.102994	191,129
192	00:45:20.304488	192,0
193	00:45:20.511525	193,105
194	00:45:20.707522	194,-134
195	00:45:20.909492	195,-202
196	00:45:21.110962	196,-249
197	00:45:21.312429	197,172
198	00:45:21.511782	198,-203
199	00:45:21.716380	199,-181
200	00:45:21.918879	200,271
201	00:45:22.120845	201,78
202	00:45:22.322813	202,175
203	00:45:22.527793	203,-228
204	00:45:22.727260	204,-233
205	00:45:22.929232	205,19
206	00:45:23.132847	206,-163
207	00:45:23.334815	207,281
208	00:45:23.543795	208,252
209	00:45:23.751773	209,170
210	00:45:23.933856	210,-293
211	00:45:24.140976	211,-241
212	00:45:24.342945	212,-258
213	00:45:24.544303	213,-246
214	00:45:24.746272	214,252
215	00:45:24.948240	215,-103
216	00:45:25.149707	216,159
217	00:45:25.351175	217,15
218	00:45:25.560163	218,-90
219	00:45:25.754134	219,-275
220	00:45:25.956104	220,-286
221	00:45:26.158072	221,-69
222	00:45:26.360545	222,-191
223	00:45:26.560400	223,64
224	00:45:26.763992	224,207
225	00:45:26.966008	225,-123
226	00:45:27.167508	226,215
227	00:45:27.368976	227,264
228	00:45:27.576457	228,-110
229	00:45:27.772424	229,135
230	00:45:27.974394	230,-72
231	00:45:28.176392	231,-288
232	00:45:28.377862	232,-32
233	00:45:28.687088	233,221
234	00:45:28.892256	234,-94
235	00:45:29.090817	235,-191
236	00:45:29.184545	236,-32
237	00:45:29.386014	237,-162
238	00:45:29.602031	238,-18
239	00:45:29.897229	239,-164
240	00:45:30.098720	240,221
241	00:45:30.300156	241,84
242	00:45:30.393886	242,24
243	00:45:30.592749	243,-243
244	00:45:30.796842	244,-207
245	00:45:31.106548	245,84
246	00:45:31.308016	246,128
247	00:45:31.515050	247,-289
248	00:45:31.617317	248,-105
249	00:45:31.819288	249,-105
250	00:45:32.020753	250,65
251	00:45:32.316453	251,-3
252	00:45:32.530934	252,-8
253	00:45:32.719462	253,47
254	00:45:32.827196	254,28
255	00:45:33.028691	255,-252
256	00:45:33.230156	256,-84
257	00:45:33.531422	257,53
258	00:45:33.742538	258,-266
259	00:45:33.939667	259,-200
260	00:45:34.036403	260,-121
