MessageID	Timestamp	Payload
181	00:30:31.449239	181,161
182	00:30:31.651266	182,-163
183	00:30:31.853289	183,266
184	00:30:32.070945	184,-242
185	00:30:32.272982	185,21
186	00:30:32.475010	186,-85
187	00:30:32.677032	187,-256
188	00:30:32.880057	188,-13
189	00:30:33.082156	189,-32
190	00:30:33.284184	190,-191
191	00:30:33.486216	191,221
192	00:30:33.688219	192,285
193	00:30:33.890237	193,-282
194	00:30:34.107843	194,-72
195	00:30:34.309396	195,-109
196	00:30:34.511419	196,-181
197	00:30:34.713415	197,190
198	00:30:34.917443	198,243
199	00:30:35.117478	199,270
200	00:30:35.337251	200,-69
201	00:30:35.537380	201,38
202	00:30:35.739404	202,213
203	00:30:35.948999	203,-4
204	00:30:36.143496	204,-35
205	00:30:36.361112	205,230
206	00:30:36.563171	206,7
207	00:30:36.765199	207,65
208	00:30:36.965143	208,-86
209	00:30:37.169287	209,111
210	00:30:37.371286	210,-265
211	00:30:37.573321	211,-115
212	00:30:37.774843	212,-115
213	00:30:37.980907	213,300
214	00:30:38.194052	214,-31
215	00:30:38.396099	215,151
216	00:30:38.598124	216,-65
217	00:30:38.800124	217,288
218	00:30:39.012664	218,176
219	00:30:39.219785	219,-166
220	00:30:39.421809	220,-195
221	00:30:39.623836	221,-15
222	00:30:39.825869	222,135
223	00:30:40.028414	223,-168
224	00:30:40.245033	224,137
225	00:30:40.441182	225,77
226	00:30:40.648827	226,-293
227	00:30:40.850851	227,-64
228	00:30:41.059937	228,-263
229	00:30:41.254939	229,-246
230	00:30:41.472095	230,15
231	00:30:41.674091	231,-114
232	00:30:41.876088	232,-77
233	00:30:42.076027	233,266
234	00:30:42.279645	234,146
235	00:30:42.481611	235,36
236	00:30:42.699763	236,-58
237	00:30:42.901792	237,143
238	00:30:43.107866	238,-86
239	00:30:43.320407	239,5
240	00:30:43.522405	240,143
241	00:30:43.522405	241,126
242	00:30:43.724877	242,176
243	00:30:43.926386	243,37
244	00:30:44.128408	244,129
245	00:30:44.330432	245,-112
246	00:30:44.548085	246,-6
247	00:30:44.750135	247,24
248	00:30:44.952086	248,-63
249	00:30:45.154619	249,52
250	00:30:45.356579	250,-275
251	00:30:45.558904	251,-28
252	00:30:45.776024	252,-236
253	00:30:45.979151	253,-252
254	00:30:46.181154	254,-7
255	00:30:46.383209	255,295
256	00:30:46.585244	256,82
257	00:30:46.802888	257,272
258	00:30:47.004958	258,-15
259	00:30:47.206427	259,-139
260	00:30:47.408450	260,197
261	00:30:47.610475	261,130
262	00:30:47.812505	262,6
263	00:30:48.015033	263,-285
264	00:30:48.217025	264,203
265	00:30:48.434671	265,-115
266	00:30:48.636699	266,-163
267	00:30:48.838752	267,-252
268	00:30:49.040820	268,-152
269	00:30:49.242821	269,141
270	00:30:49.444884	270,237
271	00:30:49.662528	271,174
272	00:30:49.864552	272,71
273	00:30:50.066598	273,-276
274	00:30:50.268623	274,-208
275	00:30:50.480907	275,162
276	00:30:50.687525	276,189
277	00:30:50.889555	277,177
278	00:30:51.091664	278,94
279	00:30:51.293683	279,-100
280	00:30:51.495689	280,138
281	00:30:51.713367	281,3
282	00:30:51.923426	282,263
283	00:30:52.117482	283,292
284	00:30:52.319507	284,18
285	00:30:52.521539	285,-123
286	00:30:52.723565	286,-280
287	00:30:52.939157	287,75
288	00:30:53.143276	288,156
289	00:30:53.344743	289,287
290	00:30:53.546296	290,-282
291	00:30:53.748325	291,219
292	00:30:53.954922	292,268
293	00:30:54.168062	293,99
294	00:30:54.370092	294,198
295	00:30:54.572118	295,95
296	00:30:54.774643	296,102
297	00:30:54.986212	297,-19
298	00:30:55.194355	298,219
299	00:30:55.437824	299,-112
300	00:30:55.629826	300,136
301	00:30:55.842307	301,-53
302	00:30:56.033256	302,196
